,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
150,2019,1179,Hope College,MI,3011,0,21040,1747,9000,7453,2705,0,3680,19000,7520,0,0,24650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2019,1180,Michigan State University,MI,673959,1071387,594492,25191,229736,197786,11187,100246,24802,376479,35245,57524,1140,89509,214088,5478300,4138700,0,2562300,0,451700,0,753800,1623400,0,0,940000,0,0,0,15948200,15948200,275000,0,19525000,19800000
152,2019,1181,Michigan Technological University,MI,75194,0,23499,3833,234467,4494,1709,0,42388,31565,1849,2795,4883,19271,0,0,0,0,282723,0,0,0,0,0,0,0,0,0,0,0,282723,282723,0,0,0,0
153,2019,1182,Oakland University,MI,11961,0,31428,3579,19214,45024,115,0,0,23570,7801,0,0,0,30100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2019,1183,Wayne State University,MI,230231,7043,259917,10238,115800,283830,6671,1583,2395,131367,46365,25847,0,0,156155,0,2420000,0,625000,11516771,0,0,0,0,1000000,3500000,0,9281271,0,0,19061771,19061771,0,0,0,0
155,2019,1184,Western Michigan University and Homer Stryker M.D. School of Medicine,MI,15913,0,44097,1787,33317,14351,2718,0,4578,19858,1127,3572,10224,0,44638,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,400000,400000,0,0,0,0
156,2019,1185,Carleton College,MN,1918,0,37192,21515,0,0,5146,1240,13097,35147,16182,7569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12946630,12946630
157,2019,1186,Macalester College,MN,1218,0,6126,1030,0,0,910,2059,3681,5951,4771,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2019,1188,St. Cloud State University,MN,1694,16400,10933,10887,11982,3614,0,5601,1123,18826,5986,11270,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,600000,0,0,0,0
159,2019,1189,Alcorn State University,MS,13834,20240,12750,1800,5100,0,2778,15000,0,400,400,10000,0,0,0,3654745,0,0,0,0,0,0,0,0,0,0,0,0,3654745,0,0,3654745,0,0,0,0
160,2019,1190,Jackson State University,MS,18972,0,12255,51177,5909,940,9831,0,1792,15519,940,397,0,8337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2019,1191,Mississippi State University,MS,235581,1073545,97246,11118,530426,219052,11662,17966,26126,89675,22838,77609,0,0,0,429979,0,0,1434951,0,0,0,0,0,0,0,0,0,1044483,0,820447,1864930,1257114,11215793,643888,13116795
162,2019,1194,University of Southern Mississippi,MS,49785,2065,171001,4172,26000,14031,2800,79860,39455,95982,8697,13815,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2019,1197,Lincoln University,MO,4215,64568,4464,0,0,0,0,10063,0,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2019,1198,Missouri State University,MO,4391,26582,16298,718,14900,14943,0,4717,9976,12396,5550,3421,0,0,0,0,0,0,0,0,0,0,0,271640,527173,0,0,0,0,493803,305010,798813,0,0,647079,647079
165,2019,1199,University of Missouri-Columbia,MO,245600,291362,138123,21774,92201,122612,1276,29690,8289,44803,15262,12619,23089,0,71509,0,0,0,0,16300000,0,0,0,0,0,0,0,16300000,0,0,16300000,16300000,0,10000000,223697106,233697106
166,2019,1200,Missouri University of Science and Technology,MO,42657,0,12386,7157,166734,0,0,0,36234,32685,1286,0,0,1034,0,0,0,824049,0,0,0,0,0,6871515,0,0,1275386,0,0,0,8970950,8970950,0,0,10445840,10445840
167,2019,1201,University of Missouri-Kansas City,MO,22857,0,62191,24832,46117,400278,3042,0,11738,59020,16184,12844,1136,23422,146026,0,14930000,0,0,0,0,0,0,7690000,0,0,0,0,0,18285600,4334400,22620000,1165265,0,30917060,32082325
168,2019,1202,University of Missouri-St. Louis,MO,10708,0,39769,2479,0,4438,1661,0,0,42073,24387,14512,0,0,0,0,525642,0,0,0,0,0,0,864866,0,0,0,0,0,681271,709237,1390508,0,0,0,0
